id,videoId,category,episode,title,order
um3mkvNmDPY,um3mkvNmDPY,Critical Role,81,What Lies Beneath The Surface,86
Mgjf7knzbx0,Mgjf7knzbx0,Critical Role,82,Deadly Echoes,87
7Tdl6GhiSI8,7Tdl6GhiSI8,One Shot,Liam's Quest!,Liam's Quest!,88
4z_wF_SJR2I,4z_wF_SJR2I,Critical Role,83,The Deceiver's Stand,89
KiGoxBJQ_I0,KiGoxBJQ_I0,Critical Role,84,Loose Ends,90
N7DuwqJtCGI,N7DuwqJtCGI,Critical Role,85,A Bard's Lament,91
OrOZRVxyR3I,OrOZRVxyR3I,Critical Role,86,Daring Days,92
cZfFsdaK1dg,cZfFsdaK1dg,Critical Role,87,Onward to Vesrah,93
rMEIgwyv2Wc,rMEIgwyv2Wc,Critical Role,88,Tangled Depths,94
5tU-mBn4qsk,5tU-mBn4qsk,Critical Role,89,Curious Depths,95
